order,course,month,type,lesson,url,embed_url,open_how,duration,required,status,prove_url,notes
34,2,M2 Nov 2026,Video,Dave Ebbelaar — LangGraph production,https://www.youtube.com/@daveebbelaar,,YouTube,pick 1–2,Yes,Not started,,M2 (Nov 2026): LangGraph & agent state machines
35,2,M2 Nov 2026,Video,Berkeley RDI — compound AI / agents,https://www.youtube.com/@BerkeleyRDI,,YouTube,1 lecture,Yes,Not started,,M2 (Nov 2026): LangGraph & agent state machines
36,2,M2 Nov 2026,Video,*(optional)* LangChain YouTube,https://www.youtube.com/@LangChain,,YouTube,,No,Not started,,M2 (Nov 2026): LangGraph & agent state machines
37,2,M2 Nov 2026,Read,Anthropic — Building Effective Agents,https://www.anthropic.com/engineering/building-effective-agents,,Browser,,Yes,Not started,,M2 (Nov 2026): LangGraph & agent state machines
38,2,M2 Nov 2026,Read,LangGraph documentation,https://langchain-ai.github.io/langgraph/,,Browser,,Yes,Not started,,M2 (Nov 2026): LangGraph & agent state machines
39,2,M2 Nov 2026,Read,Applied LLMs — agents / orchestration,https://applied-llms.org/,,Browser,,Yes,Not started,,M2 (Nov 2026): LangGraph & agent state machines
40,2,M2 Nov 2026,Build,Package `reconciler-agent`: LangGraph + SQLite/Postgres checkpoints,,,Checkbox,,Yes,Not started,,M2 (Nov 2026): LangGraph & agent state machines
41,2,M2 Nov 2026,Prove,README demo: validation fail → `interrupt()` HITL,,,Checkbox,,Yes,Not started,,M2 (Nov 2026): LangGraph & agent state machines
42,3,M3 Dec 2026,Video,Daily Dose of DS — MCP topics,https://www.youtube.com/@dailydoseofds,,YouTube,1–2 videos,Yes,Not started,,M3 (Dec 2026): MCP & secure tool surfaces
43,3,M3 Dec 2026,Video,Multi-agent MCP + FastAPI,https://www.youtube.com/watch?v=LZAGlCqmhZQ,https://www.youtube.com/embed/LZAGlCqmhZQ,Embed,~2 h,Yes,Not started,,M3 (Dec 2026): MCP & secure tool surfaces
44,3,M3 Dec 2026,Video,Multi-agent MCP + HITL architecture,https://www.youtube.com/watch?v=BM39OouLNsM,https://www.youtube.com/embed/BM39OouLNsM,Embed,long,Yes,Not started,,M3 (Dec 2026): MCP & secure tool surfaces
45,3,M3 Dec 2026,Video,*(optional)* CampusX MCP episode — LangGraph playlist,https://www.youtube.com/playlist?list=PLKnIA16_RmvYsvB8qkUQuJmJNuiCUJFPL,,YouTube,,No,Not started,,M3 (Dec 2026): MCP & secure tool surfaces
46,3,M3 Dec 2026,Read,MCP introduction,https://modelcontextprotocol.io/introduction,,Browser,,Yes,Not started,,M3 (Dec 2026): MCP & secure tool surfaces
47,3,M3 Dec 2026,Read,MCP specification / docs,https://modelcontextprotocol.io/docs,,Browser,,Yes,Not started,,M3 (Dec 2026): MCP & secure tool surfaces
48,3,M3 Dec 2026,Read,MCP Illustrated Guidebook,https://mcp.dailydoseofds.com,,Browser,,Yes,Not started,,M3 (Dec 2026): MCP & secure tool surfaces
49,3,M3 Dec 2026,Read,FastMCP (Python),https://github.com/jlowin/fastmcp,,Browser,,Yes,Not started,,M3 (Dec 2026): MCP & secure tool surfaces
50,3,M3 Dec 2026,Read,Hub roadmap — MCP section,https://github.com/patchy631/ai-engineering-hub/blob/main/ai-engineering-roadmap/README.md,,Browser,,Yes,Not started,,M3 (Dec 2026): MCP & secure tool surfaces
51,3,M3 Dec 2026,Read,JSON Schema,https://json-schema.org/,,Browser,,Yes,Not started,,M3 (Dec 2026): MCP & secure tool surfaces
52,3,M3 Dec 2026,Build,"Tools: `lookup_schema`, `query_golden_set`, `run_readonly_sql` (sqlite)",,,Checkbox,,Yes,Not started,,M3 (Dec 2026): MCP & secure tool surfaces
53,3,M3 Dec 2026,Build,"Audit fields: `user_id`, `tool`, `args_hash`, `timestamp`",,,Checkbox,,Yes,Not started,,M3 (Dec 2026): MCP & secure tool surfaces
54,3,M3 Dec 2026,Prove,README + redacted Cursor/Claude MCP snippet,,,Checkbox,,Yes,Not started,,M3 (Dec 2026): MCP & secure tool surfaces
55,4,M4 Jan 2027,Video,Document Chat RAG walkthrough,https://www.youtube.com/watch?v=ZgNJMWipirk,https://www.youtube.com/embed/ZgNJMWipirk,Embed,~45 m,Yes,Not started,,M4 (Jan 2027): Hybrid retrieval
56,4,M4 Jan 2027,Video,*(optional)* CampusX Advanced RAG outline · hybrid modules,https://learnwith.campusx.in/courses/Advanced-RAG-69d8037290a183fe36833265,,Browser,,No,Not started,,M4 (Jan 2027): Hybrid retrieval
57,4,M4 Jan 2027,Read,Qdrant documentation,https://qdrant.tech/documentation/,,Browser,,Yes,Not started,,M4 (Jan 2027): Hybrid retrieval
58,4,M4 Jan 2027,Read,Qdrant — hybrid queries,https://qdrant.tech/documentation/concepts/hybrid-queries/,,Browser,,Yes,Not started,,M4 (Jan 2027): Hybrid retrieval
59,4,M4 Jan 2027,Read,pgvector,https://github.com/pgvector/pgvector,,Browser,,Yes,Not started,,M4 (Jan 2027): Hybrid retrieval
60,4,M4 Jan 2027,Read,Applied LLMs — retrieval,https://applied-llms.org/,,Browser,,Yes,Not started,,M4 (Jan 2027): Hybrid retrieval
61,4,M4 Jan 2027,Build,"Public corpus (10-K sample, ops markdown, or synthetic runbooks)",,,Checkbox,,Yes,Not started,,M4 (Jan 2027): Hybrid retrieval
62,4,M4 Jan 2027,Build,README: dense-only vs hybrid metrics,,,Checkbox,,Yes,Not started,,M4 (Jan 2027): Hybrid retrieval
63,4,M4 Jan 2027,Prove,Committed benchmark table,,,Checkbox,,Yes,Not started,,M4 (Jan 2027): Hybrid retrieval
64,5,M5 Feb 2027,Video,Docling (IBM),https://github.com/DS4SD/docling,,Browser,README / release demos,Yes,Not started,,M5 (Feb 2027): Document parsing at scale
65,5,M5 Feb 2027,Video,Docling documentation,https://github.com/DS4SD/docling#documentation,,Browser,,Yes,Not started,,M5 (Feb 2027): Document parsing at scale
66,5,M5 Feb 2027,Video,LlamaParse getting started,https://docs.cloud.llamaindex.ai/llamaparse/getting_started,,Browser,,Yes,Not started,,M5 (Feb 2027): Document parsing at scale
67,5,M5 Feb 2027,Video,Chip Huyen — data for LLM systems,https://chiphuyen.com/,,Browser,,Yes,Not started,,M5 (Feb 2027): Document parsing at scale
68,5,M5 Feb 2027,Build,"`chunks.jsonl` with `source_page`, `doc_id`, `chunk_id`",,,Checkbox,,Yes,Not started,,M5 (Feb 2027): Document parsing at scale
69,5,M5 Feb 2027,Prove,Sample file + documented schema,,,Checkbox,,Yes,Not started,,M5 (Feb 2027): Document parsing at scale
70,6,M6 Mar 2027,Video,Neo4j GraphAcademy,https://graphacademy.neo4j.com/,,Browser,4–8 h,Yes,Not started,,M6 (Mar 2027): Graph & GraphRAG slice
71,6,M6 Mar 2027,Video,*(optional)* CampusX Graph RAG modules,https://learnwith.campusx.in/courses/Advanced-RAG-69d8037290a183fe36833265,,Browser,,No,Not started,,M6 (Mar 2027): Graph & GraphRAG slice
72,6,M6 Mar 2027,Read,Microsoft GraphRAG,https://github.com/microsoft/graphrag,,Browser,,Yes,Not started,,M6 (Mar 2027): Graph & GraphRAG slice
73,6,M6 Mar 2027,Read,Neo4j Cypher manual,https://neo4j.com/docs/cypher-manual/current/,,Browser,,Yes,Not started,,M6 (Mar 2027): Graph & GraphRAG slice
74,6,M6 Mar 2027,Build,Lightweight graph from M5 corpus; validator rejects invalid states,,,Checkbox,,Yes,Not started,,M6 (Mar 2027): Graph & GraphRAG slice
75,6,M6 Mar 2027,Prove,Test case that fails validation,,,Checkbox,,Yes,Not started,,M6 (Mar 2027): Graph & GraphRAG slice
76,7,M7 Apr 2027,Video,RAG Evaluation (Ragas context),https://www.youtube.com/watch?v=bB56BaQIBm4,https://www.youtube.com/embed/bB56BaQIBm4,Embed,~1 h,Yes,Not started,,M7 (Apr 2027): Evaluation harness
77,7,M7 Apr 2027,Video,*(optional)* CampusX RAGAS module — Advanced RAG outline,https://learnwith.campusx.in/courses/Advanced-RAG-69d8037290a183fe36833265,,Browser,,No,Not started,,M7 (Apr 2027): Evaluation harness
78,7,M7 Apr 2027,Read,Hamel — evals,https://hamel.dev/blog/posts/evals/,,Browser,,Yes,Not started,,M7 (Apr 2027): Evaluation harness
79,7,M7 Apr 2027,Read,Applied LLMs — evaluation,https://applied-llms.org/,,Browser,,Yes,Not started,,M7 (Apr 2027): Evaluation harness
80,7,M7 Apr 2027,Read,DeepEval getting started,https://docs.confident-ai.com/docs/getting-started,,Browser,,Yes,Not started,,M7 (Apr 2027): Evaluation harness
81,7,M7 Apr 2027,Read,Ragas — install,https://docs.ragas.io/en/stable/getstarted/install/,,Browser,,Yes,Not started,,M7 (Apr 2027): Evaluation harness
82,7,M7 Apr 2027,Read,Ragas — metrics,https://docs.ragas.io/en/stable/concepts/metrics/,,Browser,,Yes,Not started,,M7 (Apr 2027): Evaluation harness
83,7,M7 Apr 2027,Build,"`evals/golden.jsonl`, `python -m evals.run` → JSON report",,,Checkbox,,Yes,Not started,,M7 (Apr 2027): Evaluation harness
84,7,M7 Apr 2027,Prove,Golden set committed + summary metrics,,,Checkbox,,Yes,Not started,,M7 (Apr 2027): Evaluation harness
85,8,M8 May 2027,Read,Hamel — articles index,https://hamel.dev/,,Browser,,Yes,Not started,,M8 (May 2027): Eval CI/CD gates
86,8,M8 May 2027,Read,DeepEval — CI/CD,https://docs.confident-ai.com/docs/evaluation-end-to-end-ci-cd,,Browser,,Yes,Not started,,M8 (May 2027): Eval CI/CD gates
87,8,M8 May 2027,Read,Applied LLMs — testing / monitoring,https://applied-llms.org/,,Browser,,Yes,Not started,,M8 (May 2027): Eval CI/CD gates
88,8,M8 May 2027,Build,"`.github/workflows/evals.yml`, `evals/baseline.json`",,,Checkbox,,Yes,Not started,,M8 (May 2027): Eval CI/CD gates
89,8,M8 May 2027,Prove,CI regression screenshot,,,Checkbox,,Yes,Not started,,M8 (May 2027): Eval CI/CD gates
90,9,M9 Jun 2027,Video,LangSmith crash course,https://www.youtube.com/watch?v=4FFspU4riHk,https://www.youtube.com/embed/4FFspU4riHk,Embed,map concepts to Langfuse · ~2 h,Yes,Not started,,M9 (Jun 2027): Policy (OPA) + tracing
91,9,M9 Jun 2027,Video,*(optional)* Context Engineering for Agents · ~1 h,https://www.youtube.com/watch?v=4GiqzUHD5AA,https://www.youtube.com/embed/4GiqzUHD5AA,Embed,,No,Not started,,M9 (Jun 2027): Policy (OPA) + tracing
92,9,M9 Jun 2027,Read,Open Policy Agent docs,https://www.openpolicyagent.org/docs/latest/,,Browser,,Yes,Not started,,M9 (Jun 2027): Policy (OPA) + tracing
93,9,M9 Jun 2027,Read,Langfuse docs,https://langfuse.com/docs,,Browser,,Yes,Not started,,M9 (Jun 2027): Policy (OPA) + tracing
94,9,M9 Jun 2027,Read,Langfuse — tracing,https://langfuse.com/docs/tracing,,Browser,,Yes,Not started,,M9 (Jun 2027): Policy (OPA) + tracing
95,9,M9 Jun 2027,Read,OpenTelemetry — Python,https://opentelemetry.io/docs/languages/python/,,Browser,,Yes,Not started,,M9 (Jun 2027): Policy (OPA) + tracing
96,9,M9 Jun 2027,Read,LiteLLM — Langfuse integration,https://docs.litellm.ai/docs/observability/langfuse_integration,,Browser,,Yes,Not started,,M9 (Jun 2027): Policy (OPA) + tracing
97,9,M9 Jun 2027,Build,Rego: block `write_*` for role `analyst`,,,Checkbox,,Yes,Not started,,M9 (Jun 2027): Policy (OPA) + tracing
98,9,M9 Jun 2027,Build,Langfuse wired to LangGraph + LiteLLM,,,Checkbox,,Yes,Not started,,M9 (Jun 2027): Policy (OPA) + tracing
99,9,M9 Jun 2027,Prove,Trace screenshot + policy test output,,,Checkbox,,Yes,Not started,,M9 (Jun 2027): Policy (OPA) + tracing
100,10,M10 Jul 2027,Capstone,Ingestion: Docling or LlamaParse on public/synthetic docs,,,Checkbox,,Yes,Not started,,M10 (Jul 2027): Capstone integration alpha
101,10,M10 Jul 2027,Capstone,Gateway: LiteLLM proxy + failover; prompt caching on static prefixes,,,Checkbox,,Yes,Not started,,M10 (Jul 2027): Capstone integration alpha
102,10,M10 Jul 2027,Capstone,Extraction: Instructor + Pydantic + validation retries,,,Checkbox,,Yes,Not started,,M10 (Jul 2027): Capstone integration alpha
103,10,M10 Jul 2027,Capstone,Invariants & lineage: root validators; chunk → model → row events,,,Checkbox,,Yes,Not started,,M10 (Jul 2027): Capstone integration alpha
104,10,M10 Jul 2027,Capstone,Policy: OPA before write tools,,,Checkbox,,Yes,Not started,,M10 (Jul 2027): Capstone integration alpha
105,10,M10 Jul 2027,Capstone,LangGraph: pass → stage write; fail → `interrupt()` HITL,,,Checkbox,,Yes,Not started,,M10 (Jul 2027): Capstone integration alpha
106,10,M10 Jul 2027,Capstone,Eval CI: GitHub Actions + tiered metrics,,,Checkbox,,Yes,Not started,,M10 (Jul 2027): Capstone integration alpha
107,10,M10 Jul 2027,Capstone,Telemetry: Langfuse or OTel per run,,,Checkbox,,Yes,Not started,,M10 (Jul 2027): Capstone integration alpha
108,10,M10 Jul 2027,Capstone,"*(optional Phase 5)* E2B, semantic cache, NeMo — document as Phase 2 if deferred",,,Checkbox,,Yes,Not started,,M10 (Jul 2027): Capstone integration alpha
109,10,M10 Jul 2027,Capstone,"Static prefix identified (schemas, tools, policy, few-shots)",,,Checkbox,,Yes,Not started,,M10 (Jul 2027): Capstone integration alpha
110,10,M10 Jul 2027,Capstone,Anthropic prompt caching,https://docs.anthropic.com/en/docs/build-with-claude/prompt-caching,,Browser,,Yes,Not started,,M10 (Jul 2027): Capstone integration alpha
111,10,M10 Jul 2027,Capstone,LiteLLM prompt caching,https://docs.litellm.ai/docs/completion/prompt_caching,,Browser,,Yes,Not started,,M10 (Jul 2027): Capstone integration alpha
112,10,M10 Jul 2027,Capstone,"README table: TTFT + cached vs uncached tokens (≥10 requests, same workload)",,,Checkbox,,Yes,Not started,,M10 (Jul 2027): Capstone integration alpha
113,10,M10 Jul 2027,Capstone,One-sentence interview line on cost/latency without behavior change,,,Checkbox,,Yes,Not started,,M10 (Jul 2027): Capstone integration alpha
114,10,M10 Jul 2027,Video,AI Agents in LangGraph,https://www.deeplearning.ai/short-courses/ai-agents-in-langgraph/,,DL.AI browser,revisit as needed,Yes,Not started,,M10 (Jul 2027): Capstone integration alpha
115,10,M10 Jul 2027,Read,OpenAPI 3,https://swagger.io/specification/,,Browser,,Yes,Not started,,M10 (Jul 2027): Capstone integration alpha
116,10,M10 Jul 2027,Read,JSON Schema,https://json-schema.org/,,Browser,,Yes,Not started,,M10 (Jul 2027): Capstone integration alpha
117,10,M10 Jul 2027,Read,Instructor,https://python.useinstructor.com/,,Browser,[LiteLLM](https://docs.litellm.ai/),Yes,Not started,,M10 (Jul 2027): Capstone integration alpha
118,10,M10 Jul 2027,Build,Ingest → gateway (caching on) → extract → validate → LangGraph → stage DB,,,Checkbox,,Yes,Not started,,M10 (Jul 2027): Capstone integration alpha
119,10,M10 Jul 2027,Prove,`alpha` tag + 5-minute demo script + caching section in README,,,Checkbox,,Yes,Not started,,M10 (Jul 2027): Capstone integration alpha
120,11,M11 Aug 2027,Video,Kubernetes Community,https://www.youtube.com/c/kubernetescommunity,,YouTube,pick relevant talks,Yes,Not started,,M11 (Aug 2027): Deploy & platform UX
121,11,M11 Aug 2027,Read,Kubernetes — Deployments,https://kubernetes.io/docs/concepts/workloads/controllers/deployment/,,Browser,,Yes,Not started,,M11 (Aug 2027): Deploy & platform UX
122,11,M11 Aug 2027,Read,Helm quickstart,https://helm.sh/docs/intro/quickstart/,,Browser,,Yes,Not started,,M11 (Aug 2027): Deploy & platform UX
123,11,M11 Aug 2027,Read,Argo CD — getting started,https://argo-cd.readthedocs.io/en/stable/getting_started/,,Browser,,Yes,Not started,,M11 (Aug 2027): Deploy & platform UX
124,11,M11 Aug 2027,Read,LiteLLM proxy server,https://docs.litellm.ai/docs/simple_proxy,,Browser,,Yes,Not started,,M11 (Aug 2027): Deploy & platform UX
125,11,M11 Aug 2027,Build,Helm chart or compose,,,Checkbox,,Yes,Not started,,M11 (Aug 2027): Deploy & platform UX
126,11,M11 Aug 2027,Prove,`kubectl get pods` or compose screenshot + doc link,,,Checkbox,,Yes,Not started,,M11 (Aug 2027): Deploy & platform UX
127,12,M12 Sep 2027,Video,OpenLineage project,https://www.openlineage.io/,,Browser,,Yes,Not started,,M12 (Sep 2027): Lineage & hardening
128,12,M12 Sep 2027,Read,OpenLineage documentation,https://openlineage.io/docs,,Browser,,Yes,Not started,,M12 (Sep 2027): Lineage & hardening
129,12,M12 Sep 2027,Read,Applied LLMs — production pitfalls,https://applied-llms.org/,,Browser,,Yes,Not started,,M12 (Sep 2027): Lineage & hardening
130,12,M12 Sep 2027,Build,Sample lineage JSON in repo,,,Checkbox,,Yes,Not started,,M12 (Sep 2027): Lineage & hardening
131,12,M12 Sep 2027,Prove,`v1.0` tag + lineage artifact,,,Checkbox,,Yes,Not started,,M12 (Sep 2027): Lineage & hardening
132,13,M13 Oct 2027,Frontier,**vLLM** — docs · local model behind LiteLLM,https://docs.vllm.ai/,,Browser,,Yes,Not started,,M13 (Oct 2027): Frontier deep dive (pick 1–2)
133,13,M13 Oct 2027,Frontier,**DSPy** — GitHub · one compiled extractor metric,https://github.com/stanfordnlp/dspy,,Browser,,Yes,Not started,,M13 (Oct 2027): Frontier deep dive (pick 1–2)
134,13,M13 Oct 2027,Frontier,**Prefix caching** — Anthropic · TTFT before/after,https://docs.anthropic.com/en/docs/build-with-claude/prompt-caching,,Browser,,Yes,Not started,,M13 (Oct 2027): Frontier deep dive (pick 1–2)
135,13,M13 Oct 2027,Frontier,**Semantic cache** — GPTCache · optional gateway layer,https://github.com/zilliztech/gptcache,,Browser,,Yes,Not started,,M13 (Oct 2027): Frontier deep dive (pick 1–2)
136,13,M13 Oct 2027,Prove,README section with bottleneck + metric,,,Checkbox,,Yes,Not started,,M13 (Oct 2027): Frontier deep dive (pick 1–2)
137,14,M14 Nov 2027,Read,Unsloth,https://github.com/unslothai/unsloth,,Browser,[HF PEFT](https://huggingface.co/docs/peft/index) · LoRA/QLoRA skim,Yes,Not started,,M14 (Nov 2027): Frontier + portfolio
138,14,M14 Nov 2027,Read,NeMo Guardrails,https://github.com/NVIDIA/NeMo-Guardrails,,Browser,,Yes,Not started,,M14 (Nov 2027): Frontier + portfolio
139,14,M14 Nov 2027,Read,E2B docs,https://e2b.dev/docs,,Browser,,Yes,Not started,,M14 (Nov 2027): Frontier + portfolio
140,14,M14 Nov 2027,Read,*(optional)* Karpathy Zero to Hero,https://www.youtube.com/playlist?list=PLAqhIrjkxbuWI23v9cThsA9GvCAUhRvKZ,,YouTube,,No,Not started,,M14 (Nov 2027): Frontier + portfolio
141,14,M14 Nov 2027,Prove,Posts + resume (Plan §14),,,Checkbox,,Yes,Not started,,M14 (Nov 2027): Frontier + portfolio
142,15,M15 Dec 2027,Video,AI Engineer conference channel,https://www.youtube.com/@ai.engineer,,YouTube,pick 3–5 talks,Yes,Not started,,M15 (Dec 2027): Interviews & offers
143,15,M15 Dec 2027,Read,Applied LLMs in Production,https://applied-llms.org/,,Browser,,Yes,Not started,,M15 (Dec 2027): Interviews & offers
144,15,M15 Dec 2027,Read,Anthropic — Building Effective Agents,https://www.anthropic.com/engineering/building-effective-agents,,Browser,,Yes,Not started,,M15 (Dec 2027): Interviews & offers
145,15,M15 Dec 2027,Read,Interview positioning — Plan §14–§15 (sibling page `AI_System_Engineer_plan_2027.md`),,,Checkbox,,Yes,Not started,,M15 (Dec 2027): Interviews & offers
146,15,M15 Dec 2027,Do,3–5 quality applications/week,,,Checkbox,,Yes,Not started,,M15 (Dec 2027): Interviews & offers
147,15,M15 Dec 2027,Do,Mock system design: orchestration control plane,,,Checkbox,,Yes,Not started,,M15 (Dec 2027): Interviews & offers
148,15,M15 Dec 2027,Prove,Offer or feedback notes,,,Checkbox,,Yes,Not started,,M15 (Dec 2027): Interviews & offers
